"","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"AGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137823488102489,0.131811791432263,0.125917464596336,0.136223854535871,0.139757842960824,0.148116814383585,0.156981015518567,0.160195067840542,0.160924265812018,0.169937074652016,0.181712700797462,0.196738958765453,0.210066556538469,0.221020347887029,0.231138915446438,0.243005606959046,0.257507666112846,0.264936349177294,0.271452994658724,0.289362753607087,0.301052260645437,0.304299161955649,0.307974742546767,0.320938406003453,0.332908656883541,0.344168242726644,0.35487868649684,0.365635093734333,0.375582876455695,0.384820534165388,0.555184506074826,0.6721893376946,0.671535727843837,0.670936953891079,0.670364319180244,0.669855969111533,0.669366410461026,0.668988362770118,0.668610457887789,0.668249221985606,0.667906169783851,0.667573757310829,0.667269605322543,0.666976072869325,0.666682628816526,0.666410031182914,0.666147495221322,0.665895093322767,0.665649984958719,0.665406057748996,0.665184152393442,0.664969107284939,0.664766375758583,0.664578821735013,0.664390555501358,0.664207286430916,0.664037435178749,0.663897825889946,0.663747351588244,0.663598077285523,0.663465056422966,0.663333041573284
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0.0897586357008751,0.0870517244491345,0.0845037778426173,0.0819994415916528,0.580204744935584,0.562748885109882,0.546289918740091,0.530128808444926,0.799299556051157,0.775445397130565,0.752236671628007,0.728217662849026,0.917760705324092,0.888240531205328,0.859413761982711,0.828469837802378,0.933967663119848,0.902008892562524,0.871392536879681,0.840651243882892,0.927501001073153,0.893790330998981,0.861204544107016,0.829137729663142,0.796876766096472,0.765893941921904,0.736861998701989,0.709340280116524,0.68279608250402,0.65668406139255,0.629583651595011,0.603555072543874,0.578854700628524,0.555101039032463,0.532218512713411,0.508465697485153,0.486085353943003,0.464746676980889,0.444212852480784,0.424630174013475,0.404790192293835,0.385929554767523,0.36767782345892,0.351243742963967,0.334735997668942,0.318270170866325,0.302848598106294,0.288247548877742,0.274198445999879,0.26216898333212,0.248950135638957,0.236968768517794,0.225004426287773,0.214216562496147,0.203671527209498,0.193351088626224,0.21368020739309,0.20309237329544,0.192954864286456,0.183016756199465,0.173798415952266,0.164771373692232,0.166921864961866,0.183171846977277,0.19842426557178,0.311237755006809,0.323061007483874,0.3347951032488,0.344490670353028,0.941320075235796,0.932001119387571,0.924192859854631,0.916725624939367,0.909868394891844,0.903305850416138,0.896924618177436,0.890796875025804,0.884901720350112,0.879304113421723,0.873912894025354,0.86859174238661,0.86353733327871,0.858721762737077,0.854114703215868,0.849641514402787,0.845209388190834,0.841026143943668,0.836998565462377,0.833121977305455,0.829400964575703,0.825729688526665,0.82224192855589,0.818872253703653,0.81562634105873,0.812497083369471,0.809402194449074,0.806465130049516,0.803645095150958,0.800891683265981,0.79826037214875,0.795627671957014,0.793130967230134,0.790740542771416,0.788424389265108,0.786143723228352,0.783909272693831,0.781750424518566,0.779671981173709,0.777653642746419,0.775708651521471
"BFA",0,0.0897586357008751,0.0865161516501285,0.0834739039596018,0.0805180599820838,0.579341949821176,0.558489000525923,0.538901326264,0.519889110680607,0.793991129648736,0.765751176896745,0.73919090151422,0.714880611012044,0.914385475844764,0.883225984547281,0.853468526601512,0.824920191285168,0.932936224188725,0.899760513055553,0.867658491494391,0.836214715151745,0.925070066441971,0.890307086077247,0.857695477367209,0.826173125805528,0.794650876088871,0.763927348386184,0.734131470192781,0.7053566083316,0.677596383969361,0.651009071870219,0.622723485344213,0.596409906819666,0.571173838460884,0.546748156830211,0.522678474006326,0.497958596247502,0.473964089342238,0.450844170940547,0.428655306829926,0.407365623549676,0.386425515614178,0.366717291708221,0.348155132079968,0.371185899081087,0.352530290272364,0.334806804251544,0.317749058203237,0.32860076655079,0.326457549485986,0.310621346433695,0.323026468854596,0.338664583381227,0.338444870284176,0.339555221134655,0.341183588495262,0.346961084873938,0.329771024915286,0.313887682542109,0.301496400739596,0.293541367251177,0.301502641028065,0.302359451265112,0.307125631628759,0.317785134632606,0.40494297103781,0.462228623890724,0.477686725877619,0.492566950049783,0.862525385260199,0.864787866834231,0.862607253976728,0.860567881266296,0.858656352022113,0.856808126360901,0.855175737728741,0.853672210541356,0.852239326546366,0.850898324087499,0.849610601971392,0.848381406510888,0.847184918338657,0.846056937575766,0.845001131046713,0.843996925379303,0.843019180887613,0.842080606191922,0.841203417322575,0.84036086477839,0.839559589772965,0.838787103644565,0.83809424814243,0.837420410265519,0.836788045572822,0.836179818028067,0.835598662484652,0.835090642116627,0.834607748745746,0.83414916924368,0.833706435434164,0.833276733872782,0.83291390492073,0.832566781768339,0.832234469383817,0.831912960444986,0.831607796539441,0.831337125039778,0.831073470006946,0.830830069397097,0.830589848315394,0.830358427851985
"CAF",0,0,0,0,0,0,0.0620256975893214,0.0600375142687499,0.0581901375258992,0.609507350251181,0.589987161453776,0.571438162398024,0.552894131451812,0.869401061942654,0.840686707351839,0.813347092564917,0.784724687088614,0.919810370030644,0.888106436674984,0.857875142175787,0.828518960362261,0.923083409106606,0.890331415084673,0.859433696992731,0.829444590790183,0.800170076813937,0.771293231458756,0.744426951529575,0.719101334448279,0.69425013453147,0.671318667357663,0.64555662729776,0.621176534387253,0.597888468973348,0.575941069245191,0.554092707969221,0.531684326274781,0.510940110778518,0.490902266616038,0.47144406042721,0.4529757485807,0.434406585740625,0.416037838458888,0.399508415495255,0.383227950761471,0.367456204559522,0.351564142912929,0.335457423193738,0.320311411210682,0.30552192279059,0.308717881425327,0.294230142451008,0.303673661399447,0.302547558697655,0.287986489752173,0.288686847411737,0.293888691554865,0.279943110788398,0.28286257080928,0.284249863511677,0.28409864542677,0.28471100793942,0.284862832000368,0.287252688689065,0.291407946746226,0.297738891286476,0.306409451168269,0.315500322183778,0.322692308939898,0.377620087050168,0.431239970388725,0.78039262670446,0.821511377535689,0.814757394211692,0.808125529022307,0.801836917244242,0.79575677511823,0.790153785045372,0.784701077062933,0.7794615999934,0.774422563650265,0.769553620162765,0.764854723026991,0.760218723024466,0.755874923696047,0.751707481140557,0.747599450266222,0.743683762240723,0.739953287379362,0.736221867121434,0.732791718141959,0.729476331289015,0.726189082618448,0.723086137447873,0.720035532325835,0.71715501357256,0.714369565979443,0.711704100534704,0.709067631185436,0.706521806392165,0.704095558194871,0.70186357998114,0.699593660691886,0.697410681009541,0.695271709112931,0.693203051768897,0.691220693339952,0.689355642412096,0.687463075405039,0.68563934938286,0.683827392125164
"CIV",0,0.0897586357008751,0.0863613624810549,0.0831508674586327,0.079991148320287,0.578993163914761,0.557125515400297,0.53644749212505,0.516134931405305,0.791818927725567,0.762121814761313,0.732912638345683,0.703219171701458,0.909249713051019,0.872773809960323,0.837675817265908,0.801172824341089,0.923365901938555,0.885368757775169,0.849560250822228,0.814020927164602,0.916311251123429,0.878426689803313,0.842434476530976,0.807346302962982,0.773136202507231,0.741494154708323,0.712290948834795,0.685217166513732,0.659482524037268,0.634486870391991,0.609113764564105,0.58566422130111,0.563489162610345,0.542433861060957,0.522119795254769,0.500257645224049,0.479946117779224,0.460973632053276,0.443080735646843,0.4261232075613,0.407326548134583,0.390152873937378,0.374913740989278,0.359937024411363,0.345636677175022,0.33027475011068,0.315796424905482,0.334283544675351,0.319324700866081,0.307200841783028,0.293741079635326,0.296344200121314,0.29606682795693,0.296589240870371,0.297809528053884,0.300090395792766,0.305880637842448,0.313269902201954,0.319725208598454,0.322940939369607,0.331410725761973,0.381137628880013,0.390264388566565,0.398400920771838,0.408830394729138,0.433339518904478,0.46049221149093,0.466787350114824,0.528420835166372,0.523147191473088,0.527815524044393,0.937935555893335,0.924031797521041,0.910572655916487,0.89751838142911,0.884966340351076,0.873048603128156,0.86164594856938,0.850676182516414,0.840059251506332,0.829591161114437,0.819530735152242,0.809882101643229,0.8005887945368,0.791606079460539,0.782770639020278,0.774251708066442,0.766005414234035,0.758090576183116,0.750446337335837,0.742900582041931,0.735625002960044,0.728594822904531,0.721815855346259,0.715262155424183,0.708814331799102,0.702556133109437,0.696532953370462,0.690661642922702,0.684998910739992,0.679409716625313,0.673996395713524,0.668751824671711,0.663622469708561,0.658722237502134,0.653800729441884,0.649051317441337,0.644429803050304,0.639915444264358,0.635553857358959
"CMR",0,0,0,0,0,0,0.0830916850755529,0.0801945310408047,0.0774643324158051,0.39988395989418,0.385920204880878,0.37252310101704,0.359181888370156,0.5689738756993,0.549018445777235,0.530158018992049,0.510859725839845,0.652957588040625,0.630173682211488,0.608575972967999,0.58724999972018,0.565625982286281,0.545117700708837,0.525208384847301,0.50637697490064,0.488072517118519,0.46887427164087,0.450983413399189,0.433784931324213,0.417385007151763,0.401259284576023,0.384646972107929,0.368661890660108,0.353358605636411,0.33877768901238,0.324591193727113,0.310096330799963,0.296401426711143,0.283364125347393,0.270807826448197,0.258837014026626,0.25154798999855,0.239758561661432,0.228524896605977,0.21789668573572,0.207737454498587,0.197455010319391,0.187877136133012,0.189760012771064,0.180818609306518,0.173255964837227,0.17639570733407,0.167931771834987,0.15988069235683,0.152193015733591,0.145066721247948,0.137936178191848,0.1313665730585,0.124996201509731,0.118972456925972,0.113053321471125,0.107386101668933,0.1017136461368,0.0962998799265664,0.0910618458420161,0.106688446344234,0.124687083658979,0.183589299392494,0.203937262857603,0.220786094289002,0.567861735209856,0.593145318619785,0.597297967128063,0.601360504359001,0.605321742526468,0.609097331743454,0.666432077292349,0.713214403909641,0.751594170980987,0.751286674034649,0.75100875886766,0.75088660717286,0.750786709922385,0.750692953104328,0.750601343299106,0.750527503358719,0.750539516209064,0.750561308797625,0.750568173386306,0.75059733896586,0.750607951750979,0.750703362213838,0.750793123798287,0.750866715814232,0.750964500751789,0.751054391096075,0.7511927365012,0.751332595334079,0.751472566322112,0.751605903611579,0.751737186131723,0.751906402233944,0.752076693982686,0.752238859820437,0.752405299272953,0.752569375515468,0.75275073719332,0.752929183509724,0.753105813545335,0.753287853228127,0.753453260086735
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168514747977964,0.0161734792032834,0.0155119560510614,0.0148616635803414,0.0142566610996581,0.0136880318815385,0.0131504659948418,0.0126318752167248,0.0121334414445093,0.0116238923201875,0.0111393042461545,0.0106793842311264,0.0102361765361306,0.0098091996785765,0.00936806598187119,0.00895174706612143,0.00855697064902752,0.00817653566339275,0.00781809846912028,0.00744308226470288,0.00708683723457966,0.0103878977021309,0.00978172015181221,0.00938574359465726,0.00900141916073106,0.00841585602478981,0.00801094922844323,0.00762230585977565,0.00727195334291379,0.00694397850151188,0.00662659852763366,0.00632215836393017,0.00819504387214354,0.0185046995971809,0.0353309000505384,0.0543327764223711,0.076519678180449,0.0953178123551363,0.118476799739454,0.140035486144643,0.152213422815881,0.164153596633286,0.175288032073858,0.185807845314094,0.196810395483783,0.207114924851068,0.216796568238533,0.225978411095265,0.281617145626251,0.331407705212911,0.414006750086429,0.416587515786656,0.419060041768143,0.421463886932191,0.424031910369589,0.426464542754194,0.42875390963627,0.430926450328659,0.43303494506966,0.435152510998925,0.437168503695174,0.439075050072926,0.440887412389031,0.442651813777214,0.444412355320105,0.446092379099963,0.447679416262951,0.449201210349483,0.450685288124885,0.452177692080421,0.453618633139453,0.454979635592805,0.456286379681011,0.457568897093062,0.458880739766881,0.46014593816154,0.461345905002509,0.462505839770235,0.463648328729438
"COG",0,0,0,0,0,0,0.0620256975893215,0.0598794083566309,0.0578283020625285,0.609266550766148,0.588154618815904,0.567588895338204,0.546988106879244,0.867258615190902,0.836446386519959,0.806774594328274,0.776886915336886,0.916713525006445,0.883670728100118,0.851777105518015,0.820259978593775,0.919276824988876,0.885330091201451,0.852376509709282,0.819820465094305,0.787608056658516,0.757383464065997,0.728490566246711,0.700040362182594,0.67375669644309,0.648556110979018,0.621863904501389,0.597321632500989,0.573936450849088,0.551077797885917,0.529247627657551,0.505932529518207,0.484807469358368,0.464565316259418,0.444545089176665,0.426055980945009,0.407392078714385,0.38913980580728,0.37325667104681,0.357537629200824,0.342845083603979,0.328060314051678,0.313185254258734,0.299847182992,0.286739687933335,0.276101905140334,0.262837040012548,0.251870653971291,0.240347150696656,0.228804751691205,0.218793724979244,0.208554309465506,0.198370751719815,0.188213207053843,0.179020538046139,0.170800067753209,0.161477325472182,0.15360846905202,0.145809916704626,0.137961843071378,0.146863798405771,0.157396752557017,0.172152784967328,0.186297471622611,0.201790229553964,0.226571284347329,0.246568854720953,0.266222474305742,0.286529441492211,0.304336276268077,0.32150348418563,0.338597698110309,0.354624800209376,0.370643227169997,0.385314314920061,0.399990766316999,0.413831888711159,0.560629400072184,0.570097575389776,0.579120515888051,0.588015648309279,0.596638792504733,0.605272751726787,0.613614594390089,0.621447497972217,0.629126679865677,0.636965544001873,0.644622936220692,0.652044277747254,0.659192633579858,0.665912355221314,0.673097743456166,0.679997521497676,0.686642223428772,0.692941582469724,0.699255951294235,0.705705852771348,0.711910431028855,0.717854517526515,0.723684260701271,0.729355555646716,0.735288087310088,0.74087610658108,0.746349857061566,0.751769765447446,0.756941225971442
"ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398409505799145,0.0764227600466468,0.1100694600565,0.107445998004364,0.104933355681083,0.10251965696902,0.100163228644976,0.0979052980608824,0.0957380585022014,0.0936535710498739,0.0916451774643623,0.0896733561771502,0.0877760985035863,0.085950329971277,0.0841886374814489,0.0824881580990376,0.0808127963231783,0.0791904877571628,0.07762090564336,0.0760994828384359,0.0746275404074846,0.0731652272401472,0.0717433137988549,0.0703600746733485,0.0690165985620305,0.0677092234775832,0.066395049265945,0.0651139050478028,0.0638634879459383,0.0626437418022121,0.0614501014916181
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00812603237088685,0.0079017595878848,0.00780174517181606,0.00768269031201618,0.917092256495417,0.898442917614574,0.869343914559067,0.843143332142424,0.818088733080189,0.794765744019458,0.771258407461385,0.748505580268569,0.730972593279829,0.717985220170667,0.706122744649164,0.698538873018093,0.694534279368208,0.690061888063379,0.685537716791306,0.68043343591631,0.67565979692155,0.671079775297434,0.666859607765546,0.662863367509966,0.657467943478746,0.653261180062964,0.649553281170039,0.646033255946715,0.641982438599534,0.637959773703535,0.634444692534767,0.630856746074366,0.627487951015457,0.624412865227833,0.621197356281273,0.617444290861332,0.614697483624087,0.611770347041671,0.60928629063968,0.606475022588925,0.603205765224562,0.600647912706711,0.597878526375762,0.595755757885645,0.592967531354691,0.590286773447417,0.587979953245595,0.585744568369447,0.583464097553238,0.581487449528556,0.578976583525287,0.576958048571985,0.57489515508262,0.572774665995901,0.570798248569605,0.568789290263237,0.566801946967871,0.565066987483444,0.563267519116481
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278074839853283,0.0624216137301115,0.0598605773042095,0.0573532401999144,0.0549753401393992,0.0528364262556358,0.0507196673232785,0.0487431385118276,0.0468684654218536,0.0450742811485703,0.082040951811411,0.202293410638669,0.217299269755996,0.208845792911697,0.217801127084933,0.209618796599974,0.20163222402928,0.19418595344523,0.187183068324486,0.180517873250327,0.174186284747713,0.167843454722901,0.161777121375919,0.157078623196516,0.163152340653853,0.169141917614993,0.171432527572001,0.18024563260298,0.187056045644176,0.196861561628447,0.209530431460352,0.226005798399532,0.246231623265797,0.264354665919706,0.280389540253147,0.296981063516311,0.353376347216286,0.3868581432661,0.404104476996496,0.418146581167524,0.433857376341423,0.449263740504315,0.66355314270479,0.694886296370434,0.70119979432582,0.707298343862039,0.713156020852104,0.718895160542152,0.724468166795704,0.729822984003,0.828896775906905,0.88170195134513,0.882564719846248,0.883404881770998,0.884228944370181,0.885016971757425,0.885794413697019,0.886550156097424,0.887281431991005,0.887999789820476,0.888691802141165,0.889370584544485,0.890027975863768,0.89067134381343,0.891304051849915,0.891907036136759,0.892508842647093,0.893093688323345,0.893661956995405,0.89422580991537,0.894759317574912,0.895306288580568,0.895835119531933,0.896349874836487,0.896859474535803,0.897346524729247,0.897854850094943,0.89834419921739,0.898827995329549,0.899299736933427,0.899753444037623
"GIN",0,0.0897586357008751,0.0868385570852546,0.084132011449172,0.081489043900021,0.579917508166464,0.561132857048409,0.543685658062588,0.526667197057691,0.79755864929045,0.77209151150626,0.746283344050218,0.71897099130285,0.914354471546811,0.881235205776657,0.849821535263938,0.815810970198615,0.929275928970482,0.8947111176231,0.862901722925681,0.831846851488281,0.924389233780767,0.88984732566496,0.857277621795343,0.825426405339375,0.79468238410949,0.764024894763825,0.73569243349109,0.709638688230299,0.684958621178895,0.661208891378385,0.635166575268514,0.61101296113829,0.588438117845358,0.566446147599171,0.54579485709935,0.523532427989939,0.502157959434725,0.48225396120267,0.462695833355339,0.443614510858828,0.424117390444745,0.405698340455725,0.388355484918282,0.371603773891765,0.355483884687307,0.33869532392168,0.323247920164311,0.308627140746119,0.294438710890226,0.281098804828034,0.26725210645017,0.254029604028277,0.24169650555,0.230119229287067,0.219575064339097,0.208428788961939,0.197595692130222,0.187713174093669,0.178305814749459,0.169162191673258,0.160318779679807,0.15188360643475,0.28020358904414,0.32804383805414,0.373811465966688,0.448174127707955,0.444124658170485,0.442907628303037,0.449156845965117,0.450852337347886,0.781757375797671,0.773434548928456,0.765469114179856,0.757836261936743,0.750629061966988,0.74373969120377,0.73718254581055,0.730906580703021,0.724860674622438,0.719080575065772,0.713410900360504,0.707988895626365,0.702862770820559,0.69793665553916,0.693181832438942,0.688490469790012,0.683988443276364,0.679732287359496,0.675600471817097,0.671696612509819,0.667838264837094,0.664133390547279,0.660612194784971,0.657196697684178,0.653911385984114,0.650726153347042,0.647683140611813,0.644746435280582,0.641942211814477,0.63921333928114,0.636573260225104,0.634051539144009,0.631590049794404,0.629261723147584,0.626987504052406,0.624756642181898,0.622628123493227,0.620580036801915,0.618583077841391,0.616659577627604
